,id,title,requirement_id,preconditions,steps,expected_result,priority,rationale
48,EC-REQ13-001,Administrator attempts to deactivate their own account,REQ-011,A user with Administrator role is logged in and has access to account management functionality.,"Log in as an Administrator user.,Navigate to the user account management section.,Locate the currently authenticated Administrator's own account.,Attempt to deactivate the Administrator's own account.","The system shall prevent the Administrator from deactivating their own account and return a clear error message (e.g., 'You cannot deactivate your own account'), leaving the account in its active state.",High,Self-deactivation by the only active Administrator could cause a system lockout with no privileged account able to restore access. This is a critical edge case not covered by existing tests.
49,EC-REQ13-002,Deactivated user's active session is invalidated immediately upon deactivation,REQ-011,"Target user is logged in with one or more active sessions (e.g., web and mobile). Administrator account is available and active.","Log in as the target user and establish an active session (obtain a valid session token or JWT).,In a separate browser/client, log in as an Administrator.,As Administrator, deactivate the target user account.,Immediately attempt to perform an authenticated action using the target user's previously valid session token.,Attempt to log in again as the deactivated user using valid credentials.",All existing sessions for the deactivated user are invalidated immediately. Any API call or page request using the old session token returns a 401 Unauthorized response. A new login attempt with valid credentials is also rejected. No grace period is allowed.,High,"The requirement states access must be revoked 'immediately'. Existing tests verify deactivation occurs but may not confirm that in-flight, concurrent, or pre-existing authenticated sessions are forcibly terminated — a critical security gap."
50,EC-REQ13-003,Administrator deactivates user account while the user is mid-password-reset flow,REQ-011,"A target user has initiated a password reset and possesses a valid, unexpired password reset token sent via email. Administrator account is available and active.","As the target user, trigger a password reset and obtain a valid reset token from the email.,As Administrator, deactivate the target user's account before the reset token is used.,As the target user, attempt to complete the password reset using the previously obtained valid token.,Attempt to log in with the newly set password after the reset flow completes.","The password reset token is invalidated upon account deactivation. Attempting to use the token returns an error (e.g., 'Reset link is invalid or expired'). Even if the password is changed, login with the new credentials is denied because the account is deactivated.",Medium,"This tests the intersection of REQ-011 and the password reset context. A deactivated user must not be able to regain access through an orphaned password reset token, which represents a potential privilege-escalation bypass."
51,EC-REQ13-004,Concurrent deactivation requests for the same user account by two Administrators,REQ-011,Two Administrator accounts are active. One target active user account exists.,"Log in simultaneously as two different Administrators (Admin A and Admin B).,Both Administrators navigate to the same target user account at the same time.,Both Administrators submit a deactivation request for the same user account simultaneously (concurrent HTTP requests).,Inspect the system's response to both requests.,Verify the final state of the target user account and audit log.","The system handles the concurrent requests idempotently. The user account is deactivated exactly once. Both requests receive a valid response (e.g., the first succeeds with 200 OK, the second returns a meaningful status such as 200 OK or 409 Conflict indicating already deactivated). No duplicate audit log entries or data corruption occurs.",Medium,"Concurrent deactivation requests from multiple Administrators are a race condition not covered by existing tests. Without proper locking or idempotency handling, this could lead to inconsistent account state or duplicate audit events."
52,EC-REQ14-001,Update display name with special characters and Unicode/emoji input,REQ-012,User is authenticated and on the profile update page,"Navigate to the profile update form,Enter a display name containing special characters and Unicode, e.g., '<script>alert(1)</script>', '日本語名前', or '😀🔥',Submit the profile update form,Retrieve and display the updated profile","The system either accepts valid Unicode/emoji display names and stores/renders them safely (with XSS payloads sanitized), or returns a clear validation error. No raw HTML or script execution should occur in any rendered context.",High,"Existing tests cover length and empty string but not Unicode, emoji, or injection-style special characters. These inputs can expose XSS vulnerabilities or cause rendering/storage issues not covered by standard boundary tests."
53,EC-REQ14-002,Upload an avatar image that exceeds the maximum allowed file size,REQ-012,"User is authenticated; a valid image file (e.g., JPEG) larger than the documented maximum file size limit is available","Navigate to the profile update page,Attempt to upload a valid image format (e.g., JPEG) whose file size exceeds the maximum allowed limit,Submit the form",The system rejects the upload with a descriptive error message indicating the file size limit exceeded. No partial file is stored and other profile fields remain unchanged.,High,"Existing tests only cover invalid image format, not oversized valid-format images. Oversized uploads can exhaust storage, cause timeouts, or bypass validation if only MIME type is checked."
54,EC-REQ14-003,Update time zone with an invalid or non-existent time zone identifier,REQ-012,User is authenticated and on the profile update page,"Navigate to the profile update form,Submit a profile update request with a time zone value set to an invalid identifier (e.g., 'Invalid/Timezone', 'UTC+99', or an empty string injected via API bypass),Observe the system response and check the stored time zone value",The system rejects the invalid time zone with a validation error and does not persist the invalid value. The user's existing time zone remains unchanged.,Medium,"No existing test covers time zone validation. Accepting an invalid time zone identifier could cause downstream failures in scheduling, notifications, or display logic, and could be exploited via direct API calls bypassing UI dropdowns."
55,EC-REQ14-004,Concurrent profile updates from two simultaneous sessions for the same user,REQ-012,"User has two active authenticated sessions (e.g., two browser tabs or devices)","In Session A, begin editing the display name to 'NameFromSessionA',In Session B, simultaneously submit a profile update changing the display name to 'NameFromSessionB' and the time zone to 'America/New_York',Submit the update from Session A immediately after Session B's submission,Retrieve the final saved profile state","The system handles the concurrent updates without data corruption or partial writes (e.g., last-write-wins with full field integrity, or an optimistic locking conflict error is returned). The stored profile reflects a consistent, complete state and no fields from either update are silently lost or mixed.",Medium,"Concurrent profile mutations are not covered by existing tests and can cause race conditions resulting in partial updates, lost writes, or inconsistent field combinations, which is a common concurrency edge case for user profile services."
56,EC-REQ15-001,Administrator attempts to create a user with a malformed or extremely long email address,REQ-013,Administrator is logged in and on the user creation page.,"Navigate to the user management section.,Click 'Create New User'.,Enter an extremely long email address (e.g., 300+ characters) or a malformed email (e.g., 'user@@domain..com', 'plainaddress', '@missinglocal.com') in the email field.,Fill in all other required fields with valid data.,Click 'Submit' or 'Create User'.","The system should reject the input with a clear, descriptive validation error message indicating the email format is invalid, without crashing or exposing internal errors. The form should remain populated with previously entered data to allow correction.",High,"Malformed or excessively long email addresses are a common boundary/type-mismatch edge case not covered by existing tests. They can cause failures in downstream processes like password reset emails, and the system must handle them gracefully at the point of creation."
57,EC-REQ15-002,Administrator attempts to delete or deactivate their own account,REQ-013,Administrator is logged in and has access to the user management section. The administrator's own account is visible in the user list.,"Navigate to the user management section.,Locate the currently logged-in administrator's own account in the user list.,Attempt to click 'Delete' or 'Deactivate' on their own account.,Confirm the action if a confirmation dialog appears.","The system should prevent the administrator from deleting or deactivating their own active account, displaying a clear warning message such as 'You cannot remove your own administrator account.' The account should remain active and the administrator session should remain valid.",High,"This is a critical permission/auth edge case not covered by existing tests. Allowing an admin to self-delete could result in a lockout scenario with no administrator remaining in the system, which directly undermines intuitive and safe user management."
58,EC-REQ15-003,Password reset email is triggered for a deactivated or non-existent user account,REQ-013,Administrator is logged in. At least one user account exists in a deactivated/suspended state. The administrator has access to the password reset functionality.,"Navigate to the user management section.,Locate a deactivated or suspended user account.,Attempt to trigger a password reset email for the deactivated account.,Additionally, attempt to send a password reset to a manually typed non-existent email address.","For a deactivated account, the system should display a clear warning that the account is inactive and the reset email will not be sent (or should indicate the action is blocked). For a non-existent email, the system should display an appropriate error. No actual email should be sent to avoid information leakage, and no system crash should occur.",Medium,The existing test for password reset only covers the happy path. Triggering resets for deactivated or non-existent users is a failure/boundary scenario that could expose user enumeration vulnerabilities or cause confusing administrator experiences.
59,EC-REQ15-004,Concurrent administrators simultaneously editing the same user account,REQ-013,Two administrator accounts are active and logged in simultaneously. Both administrators navigate to the same user's detail/edit page.,"Admin A opens the edit page for User X and begins modifying the user's role.,Simultaneously, Admin B opens the edit page for the same User X and begins modifying the user's email address.,Admin A saves their changes first.,Admin B then saves their changes.","The system should handle the concurrent edit gracefully, either by implementing optimistic locking (warning Admin B that the record was modified since they opened it and prompting them to review before saving) or by merging non-conflicting fields correctly. No data should be silently lost or corrupted, and the final state of the user record should be consistent and auditable.",Medium,"This concurrency edge case is not covered by any existing tests. In multi-admin environments, simultaneous edits to the same user record are a realistic scenario that could lead to silent data loss, making user management unpredictable and unsafe."
60,EC-REQ16-001,Create a project with a name containing only whitespace characters,REQ-16,User is authenticated and has project creation permissions. The project creation form is open.,"Navigate to the project creation screen,Enter a project name consisting entirely of whitespace characters (spaces, tabs, newlines),Fill in all other required fields with valid data,Submit the form",The system should reject the submission and display a validation error indicating that the project name cannot be blank or consist only of whitespace. The project should not be created.,High,A name with only whitespace may pass a simple 'required field' check but is semantically empty. This boundary case between truly empty and visibly non-empty input is not covered by existing tests and could result in projects with invisible or meaningless names being created.
61,EC-REQ16-002,Attempt to create a project with a duplicate project name,REQ-16,User is authenticated and has project creation permissions. A project named 'Alpha Project' already exists in the system.,"Navigate to the project creation screen,Enter the project name 'Alpha Project' (identical to an existing project),Fill in all other required fields with valid data,Submit the form","The system should either reject the duplicate name with a clear error message indicating the name is already in use, or handle the duplicate gracefully per business rules (e.g., allow with a warning). The behavior must be deterministic and not result in silent data corruption.",High,"None of the existing tests verify behavior when a duplicate project name is submitted. Duplicate names can cause confusion, broken references, or data integrity issues, making this a critical edge case for project management."
62,EC-REQ16-003,Attempt to edit a project by a user without edit permissions,REQ-16,Two user accounts exist: one project owner (User A) and one read-only or non-member user (User B). A project created by User A exists in the system.,"Log in as User B (non-owner / read-only user),Navigate to the project details page for User A's project,Attempt to access the edit project functionality (via UI or direct API call),Submit modified project details","The system should deny the edit request and return an appropriate authorization error (e.g., HTTP 403 Forbidden or equivalent UI message). No changes should be persisted to the project.",High,"Existing tests only cover successful edits and field validation. Authorization enforcement on edit operations is a critical security edge case not currently tested, and failure here could allow unauthorized modification of project data."
63,EC-REQ16-004,Create a project with special characters and Unicode in the project name,REQ-16,User is authenticated and has project creation permissions. The project creation form is open.,"Navigate to the project creation screen,Enter a project name containing special characters and Unicode, e.g., '项目 <Test> & ""Alpha"" #1 🚀',Fill in all other required fields with valid data,Submit the form","The system should either accept the name and correctly store/display it with proper encoding (no data corruption, XSS injection, or display errors), or reject disallowed characters with a clear validation message. The application must not crash or expose a security vulnerability.",Medium,"Existing character boundary tests focus on length but not character type. Special characters and Unicode can cause SQL injection, XSS vulnerabilities, encoding errors, or display issues. This edge case validates both security and internationalization robustness."
64,EC-REQ17-001,Create project with name at maximum allowed character length,REQ-014,"Project Manager is authenticated and on the project creation screen. The system has a defined maximum character limit for project name (e.g., 255 characters).","Log in as a Project Manager,Navigate to the new project creation form,Enter a project name exactly at the maximum allowed character limit (e.g., 255 characters),Enter a valid description and start date,Submit the form","The system either successfully creates the project with the maximum-length name, or returns a clear validation error if the name exceeds the limit — not a crash, truncation without warning, or ambiguous failure.",High,"Boundary values on string length are a common source of buffer overflows, silent truncation, or UI/DB mismatches. This is not covered by existing tests which do not address field-length boundaries."
65,EC-REQ17-002,Create project with name or description containing only whitespace characters,REQ-014,Project Manager is authenticated and on the project creation screen.,"Log in as a Project Manager,Navigate to the new project creation form,Enter only whitespace characters (spaces, tabs, newlines) in the project name field,Enter a valid description and start date,Attempt to submit the form,Repeat the test entering whitespace only in the description field while providing a valid name","The system treats whitespace-only input as invalid for required fields and displays an appropriate validation error, preventing project creation with a blank effective name or description.",High,Whitespace-only input bypasses simple null/empty checks but produces meaningless data. Existing tests cover missing fields but not inputs that appear non-empty yet contain no meaningful content.
66,EC-REQ17-003,Attempt to create a project as a non-Project Manager role (authorization boundary),REQ-014,"A user with a role other than Project Manager (e.g., Developer, Viewer, or Guest) is authenticated.","Log in as a user without the Project Manager role,Attempt to navigate to or directly call the new project creation endpoint/screen,Fill in all required fields with valid data,Attempt to submit the form or API request","The system denies the request with an appropriate authorization error (e.g., HTTP 403 Forbidden or UI access restriction), and no project is created in the system.",High,"REQ-014 explicitly restricts project creation to Project Managers. No existing test validates that unauthorized roles are actually blocked, leaving a critical authorization gap."
67,EC-REQ17-004,Create project with a start date in the past,REQ-014,Project Manager is authenticated and on the project creation screen. Current date is known.,"Log in as a Project Manager,Navigate to the new project creation form,Enter a valid project name and description,Enter a start date that is significantly in the past (e.g., 1 year ago),Leave the end date empty,Submit the form","The system either accepts the past start date (if retrospective project creation is a valid business scenario) or returns a clear validation error indicating the start date cannot be in the past — behavior is consistent and documented, not undefined.",Medium,Existing tests do not address temporal validity of the start date relative to the current date. Allowing or silently rejecting a past start date without clear feedback can lead to data integrity issues or user confusion.
68,EC-REQ15-001,Project Manager attempts to add a team member who is already in the project,REQ-015,A project exists with at least one team member already assigned. The Project Manager is authenticated and has the appropriate role.,"Log in as a Project Manager.,Navigate to the project's team management page.,Attempt to add a user who is already an active member of the project.,Confirm or submit the add action.","The system should display a clear error or informational message indicating the user is already a member of the project, and no duplicate entry is created.",High,"Duplicate membership could cause data integrity issues, permission conflicts, or confusing UI states. This boundary case is not covered by existing tests."
69,EC-REQ15-002,Project Manager attempts to add or remove a team member from an archived or inactive project,REQ-015,A project exists in an archived or inactive state. The Project Manager is authenticated.,"Log in as a Project Manager.,Navigate to a project that has been archived or marked as inactive.,Attempt to add a new team member to the project.,Separately attempt to remove an existing team member from the same project.",The system should reject both operations and display an appropriate message indicating that team membership cannot be modified on an archived or inactive project.,High,Modifying team membership on closed or archived projects may violate business rules and lead to audit or compliance issues. This state-based edge case is not covered by existing tests.
70,EC-REQ15-003,Concurrent requests by two Project Managers to remove the same team member simultaneously,REQ-015,A project has exactly two team members. Two Project Managers are authenticated and have access to the same project.,"Log in as Project Manager A and Project Manager B in separate sessions.,Both navigate to the team management page of the same project simultaneously.,Both initiate a remove action on the same team member at the same time.,Observe the system's response for both sessions.",The system should handle the concurrent requests gracefully — one removal succeeds and the other receives an appropriate error or conflict response. No data corruption or unintended state should occur.,Medium,Race conditions during concurrent modifications can lead to inconsistent data states. This concurrency edge case is not addressed in any existing test.
71,EC-REQ15-004,Project Manager attempts to add a team member whose account has been deactivated or suspended,REQ-015,A registered user account exists but has been deactivated or suspended by an administrator. The Project Manager is authenticated.,"Log in as a Project Manager.,Navigate to the team management page of an active project.,Search for and attempt to add the deactivated or suspended user to the project.,Submit the add action.",The system should reject the operation and display a message indicating the user account is inactive or suspended and cannot be added to a project.,High,"Adding a deactivated user could grant unintended access or create ghost memberships. This differs from the existing 'non-existent user' test case, as the user exists in the system but has a restricted status."
72,EC-REQ19-001,Archive a project that is currently being actively edited by another user,REQ-016,"At least two users exist. User A has permission to archive projects. User B has the project open and is actively editing it (e.g., has unsaved changes or an active edit session).","User B opens a project and begins editing without saving.,Simultaneously, User A navigates to the project list and initiates an archive action on the same project.,User A confirms the archive operation.,Observe the behavior for both User A and User B.","The system should either prevent archiving while the project has active sessions and display an appropriate warning, or archive the project and immediately notify User B that the project has been archived, preventing further data loss. Data integrity must be maintained and no silent data corruption should occur.",High,Concurrency edge case: archiving while another user has an active edit session is not covered by existing tests and could lead to data inconsistency or silent failures.
73,EC-REQ19-002,Verify archived project does not appear in search/filter results under default context,REQ-016,At least one project has been successfully archived. The system has a search or filter functionality for projects.,"Archive a project with a distinctive name (e.g., 'ArchiveTestProject').,Navigate to the default project list view.,Use the search/filter functionality to search for the archived project by its exact name.,Check if any API endpoints or linked resources (e.g., dashboards, reports) still reference the archived project.","The archived project should not appear in default search or filter results. It should only appear if the user explicitly filters for archived projects. No default views, dashboards, or linked resources should surface the archived project without explicit user intent.",Medium,"'Hidden from default project list' may extend to search and filter contexts not explicitly tested. This boundary case ensures the hiding behavior is consistent across all default-context entry points, not just the main list view."
74,EC-REQ19-003,Restore an archived project and verify it reappears correctly in the default project list,REQ-016,A project has been previously archived. The user has appropriate permissions to restore/unarchive projects.,"Navigate to the archived projects view.,Select the archived project and perform an unarchive/restore action.,Navigate to the default project list.,Verify all original project data, metadata, and associations (members, tasks, settings) are intact.",The restored project reappears in the default project list with all original data fully preserved and unmodified. No data corruption or loss should occur as a result of the archive-restore cycle.,High,"The requirement states data must not be deleted on archive. A round-trip test (archive then restore) validates data integrity across the full lifecycle. This is not covered by existing tests which only check preservation during archival, not after restoration."
75,EC-REQ19-004,Attempt to archive a project that has dependencies referenced by active projects,REQ-016,"At least two active projects exist where Project A contains resources, tasks, or data referenced or linked by active Project B.","Confirm Project B has active references or dependencies on Project A (e.g., shared tasks, linked milestones, or shared team members).,Attempt to archive Project A using an account with archive permissions.,Confirm the archive action.,Navigate to Project B and verify its references to Project A.","The system should either warn the user that Project A has active dependencies before archiving, or proceed with archiving and gracefully handle dangling references in Project B (e.g., display a clear indicator that the referenced project is archived). No broken links or unhandled null references should appear in active projects.",Medium,Archiving a project with cross-project dependencies is a boundary condition not addressed in existing tests. Hidden data from archived projects could silently break active project workflows if dependency resolution is not handled.
76,EC-001,Null/Empty End Date Submission,REQ-017,User is creating or editing a project with a valid start date already set.,"Navigate to the project creation or edit form.,Enter a valid start date (e.g., 2024-06-01).,Leave the end date field empty or null.,Attempt to submit the form.","The system should either reject the submission with a clear validation error indicating the end date is required, or handle the null/empty end date gracefully without crashing or silently violating the date constraint.",High,Existing tests only cover cases where both dates are provided. A null or empty end date is a common edge case that could bypass date comparison logic and lead to unexpected system behavior or data integrity issues.
77,EC-002,Invalid Date Format or Non-Date String as End Date,REQ-017,User is creating or editing a project with a valid start date set.,"Navigate to the project creation or edit form.,Enter a valid start date (e.g., 2024-06-01).,Enter a non-date string or malformed date (e.g., 'abc', '99/99/9999', '2024-13-40') as the end date.,Attempt to submit the form.","The system should reject the submission with a clear validation error indicating the end date is invalid, and must not allow the malformed value to be compared against the start date or persisted to the database.",High,"Type mismatch or malformed date inputs are not covered by existing tests. If the date comparison logic does not validate input types first, it could throw unhandled exceptions, produce incorrect comparisons, or allow invalid data to be stored."
78,EC-003,Concurrent Updates: Two Users Setting Conflicting Date Ranges Simultaneously,REQ-017,Two users (User A and User B) have the same project open for editing simultaneously. The project currently has a valid date range.,"User A loads the project edit form and changes the start date to a later date (e.g., 2024-12-01), but does not submit yet.,User B simultaneously loads the same project edit form and changes the end date to an earlier date (e.g., 2024-06-01), submitting successfully.,User A then submits their change.,Check the final persisted start and end dates of the project.","The system should detect the conflict through optimistic/pessimistic locking or re-validation at the time of each save, and ensure the final persisted state never results in an end date earlier than the start date. An appropriate conflict or validation error should be surfaced to the user whose change creates the violation.",Medium,"Concurrency scenarios are not covered by existing tests. Race conditions between simultaneous edits could result in a persisted project state where the end date is earlier than the start date, even if each individual submission appeared valid at the time of the client-side check."
79,EC-004,Start Date Changed via API Bypass to Be After Existing End Date,REQ-017,"A project exists with a valid date range (start: 2024-01-01, end: 2024-06-01). The API endpoint for updating project dates is accessible.","Craft a direct API request (e.g., via curl or Postman) to update only the start date of the project to a date after the existing end date (e.g., 2024-12-01), bypassing the UI form.,Submit the API request with valid authentication credentials.,Observe the API response and check the persisted project dates in the database.","The server-side validation should enforce the date constraint at the API layer and reject the request with an appropriate error response (e.g., HTTP 400 with a descriptive message). The project's dates should remain unchanged in the database.",High,Existing tests appear to cover UI-level validation only. Server-side enforcement of the date constraint must also be validated to prevent malicious or unintended API calls from creating invalid date ranges by updating only one side of the date pair.
80,EC-REQ21-001,Duplicate a project while a concurrent duplication of the same project is in progress,REQ-018,A Project Manager is authenticated. An existing project with multiple tasks exists. A second session is simultaneously triggering a duplication of the same project.,"Session A: Project Manager initiates duplication of Project X.,Session B: A second Project Manager simultaneously initiates duplication of the same Project X before Session A completes.,Allow both operations to complete.,Inspect the resulting duplicated projects and their task lists for data integrity.","Both duplication operations complete independently and successfully, each producing a fully intact duplicate with the complete task list. No data corruption, partial task lists, or deadlocks occur. The original project remains unmodified.",High,"Concurrent duplication of the same project could cause race conditions, partial writes, or data corruption in the task list if the system does not handle concurrent access properly."
81,EC-REQ21-002,Duplicate a project where tasks contain null or empty field values,REQ-018,"A Project Manager is authenticated. An existing project has tasks where some fields (e.g., description, due date, assignee) are null or empty strings.","Identify a project containing tasks with one or more null/empty fields.,Project Manager initiates the duplication of this project.,Observe the duplication process.,Inspect the task list of the duplicated project for completeness and accuracy.","The duplication succeeds without errors. All tasks are copied to the new project, preserving null or empty field values exactly as they are in the original, without substituting defaults or throwing exceptions.",Medium,Null or empty values in task fields are a common boundary condition that can cause unexpected null-pointer exceptions or data transformation errors during the copy process.
82,EC-REQ21-003,Duplicate a project immediately before the source project is deleted,REQ-018,A Project Manager is authenticated. An existing project with tasks is scheduled for deletion. A duplication request is initiated at nearly the same time as the deletion.,"Project Manager initiates duplication of Project X.,Concurrently, an admin or automated process deletes Project X before the duplication transaction completes.,Observe the system response to the duplication request.","The system either completes the duplication successfully using a snapshot of the project state at the time duplication was initiated, or returns a clear, user-friendly error message indicating the source project no longer exists. No partial or corrupted duplicate is persisted.",High,"A race condition between deletion and duplication of the same project could result in a partially duplicated project with an incomplete task list or orphaned records, which is a critical data integrity issue."
83,EC-REQ21-004,Duplicate a project when the system has reached the maximum allowed number of projects,REQ-018,A Project Manager is authenticated. The system or the user's workspace is at the maximum allowed project capacity limit.,"Ensure the system/workspace is at the maximum number of permitted projects.,Project Manager attempts to duplicate an existing project with tasks.,Observe the system response.","The system rejects the duplication request and returns a clear, descriptive error message indicating the project limit has been reached. No partial project or task data is created, and the original project remains unmodified.",Medium,Attempting to duplicate when the capacity limit is reached is a boundary condition not covered by existing tests. Failure to handle this gracefully could result in partially created projects or silent failures.
84,EC-22-001,Create a task with whitespace-only Title field,REQ-22,User is authenticated and on the task creation screen,"Navigate to the task creation form,Enter only whitespace characters (spaces, tabs) in the Title field,Fill in all other required fields with valid data,Submit the task creation form","The system should reject the task and display a validation error indicating the Title cannot be blank or whitespace-only, treating it equivalently to an empty/missing required field",High,Whitespace-only input is a common boundary case that bypasses simple empty-string checks but is semantically equivalent to no input. Existing tests cover missing fields and character limits but not whitespace-only values.
85,EC-22-002,Delete a task that is currently being edited by another user (concurrency conflict),REQ-22,Two users (User A and User B) are authenticated; a shared task exists and is open for editing by User A,"User A opens an existing task in edit mode,User B simultaneously deletes the same task,User A attempts to save changes to the now-deleted task","The system should detect the conflict, notify User A that the task no longer exists, and prevent data corruption or silent failure. No orphaned records should be created.",High,"Concurrency scenarios are not covered by existing tests. When one user deletes a task while another edits it, race conditions can cause data integrity issues or misleading error states."
86,EC-22-003,Create a task with special characters and script injection in the Title field,REQ-22,User is authenticated and on the task creation screen,"Navigate to the task creation form,Enter a Title containing special characters such as '<script>alert(1)</script>', SQL injection patterns like ' OR 1=1 --, and Unicode edge cases (e.g., null byte \u0000, RTL override characters),Fill in all other required fields with valid data,Submit the form and view the created task","The system should either sanitize or safely encode the input, storing and displaying it as literal text without executing any scripts. No XSS, SQL injection, or data corruption should occur.",High,"Existing tests only address character length boundaries, not the nature of the characters. Malicious or special character input is a critical security edge case not currently covered."
87,EC-22-004,Edit a task without the required authorization/permission,REQ-22,A task exists and is owned by User A; User B is authenticated but has a read-only or viewer role with no edit permissions,"Log in as User B (insufficient permissions),Navigate directly to the edit URL of a task owned by User A (e.g., via direct URL manipulation),Attempt to modify task fields and submit the changes","The system should deny the edit operation with an appropriate authorization error (e.g., HTTP 403 Forbidden), not persist any changes, and not expose sensitive task data beyond the user's permission level.",High,Existing tests for editing assume an authorized user. Authorization bypass via direct URL manipulation is a critical security edge case that must be validated to prevent unauthorized data modification.
88,EC-001,Create a task with title at maximum character length boundary,REQ-019,User is authenticated as a Contributor and is a member of an existing project.,"Log in as a Contributor.,Navigate to the project task creation form.,Enter a title string that is exactly at the maximum allowed character limit (e.g., 255 characters).,Fill in valid values for description, due date, and assignee.,Submit the task creation form.,Repeat the test with a title that exceeds the maximum character limit by one character (256 characters).",A task with a title exactly at the maximum character limit is created successfully. A task with a title exceeding the maximum limit is rejected with a clear validation error message indicating the character limit.,High,"Boundary conditions on text field lengths are common sources of truncation bugs, silent data corruption, or system crashes. Neither the maximum-length nor the over-limit scenario is covered by existing tests."
89,EC-002,Create a task and assign it to a user who is not a member of the project,REQ-019,User is authenticated as a Contributor. An existing project is available. A second user account exists in the system but has NOT been added to the project.,"Log in as a Contributor with access to the project.,Navigate to the task creation form for the project.,Enter a valid title, description, and a future due date.,In the assignee field, search for and select the user who is NOT a member of the project.,Submit the task creation form.","The system should either prevent selection of a non-member as an assignee (e.g., they do not appear in the assignee dropdown) or return a validation error upon submission, clearly indicating that the assignee must be a project member. The task should not be created with an invalid assignee.",High,Assigning a task to someone outside the project scope is a permission/authorization edge case that could lead to data leakage or broken task ownership. This scenario is not addressed by any existing test cases.
90,EC-003,Create a task with a null or whitespace-only title and/or description,REQ-019,User is authenticated as a Contributor and is a member of an existing project.,"Log in as a Contributor.,Navigate to the task creation form.,Submit the form with the title field containing only whitespace characters (e.g., spaces, tabs).,Observe the system response.,Repeat the test with the description field containing only whitespace while the title is valid.",The system should treat whitespace-only input as effectively empty and reject the submission with a validation error indicating that the title (and/or description if required) cannot be blank. A task should not be created with a whitespace-only title.,Medium,"The existing 'missing required fields' test likely uses empty strings, but whitespace-only input is a distinct null/empty boundary case that many validation routines fail to catch, resulting in tasks with invisible or meaningless titles."
91,EC-004,Concurrent task creation with the same title by two Contributors simultaneously,REQ-019,Two separate user accounts both have Contributor access to the same project. Both users are logged in simultaneously.,"Have both Contributor users navigate to the task creation form for the same project at the same time.,Both users simultaneously fill in identical title, description, due date, and assignee values.,Both users submit the form at approximately the same time (simulate via concurrent API requests if needed).,Observe the resulting state of the project's task list.","The system handles concurrent submissions gracefully: either both tasks are created as distinct entries (if duplicate titles are allowed) without data corruption, or one request succeeds and the other receives a meaningful conflict/duplicate error. No data loss, partial writes, or system errors should occur.",Medium,"Concurrency issues during simultaneous writes to the same resource are a common source of race conditions, duplicate records, or data corruption. This scenario is entirely absent from the existing test cases."
92,EC-REQ24-001,Concurrent reassignment race condition: two admins reassign the same task simultaneously,REQ-24,"Task T1 is assigned to User A. Two admin sessions (Admin1 and Admin2) are open simultaneously, both viewing Task T1's assignment panel.","Admin1 initiates reassignment of Task T1 to User B.,Simultaneously (within the same millisecond window), Admin2 initiates reassignment of Task T1 to User C.,Both reassignment requests are submitted concurrently to the server.,Check the final assigned user on Task T1.,Check audit/activity log for the assignment history.","The system applies exactly one of the two assignments atomically (last-write-wins or first-write-wins with conflict rejection). Task T1 must have exactly one assigned user (either B or C, not both, not none). The losing request receives an appropriate conflict/stale-state error response. The audit log captures both attempts.",High,"Concurrent writes targeting the same task's assignee field can violate the 'exactly one user at a time' invariant if the system lacks row-level locking or optimistic concurrency control, a scenario not covered by the existing simultaneous-assignment test which likely targets the request payload rather than true concurrency."
93,EC-REQ24-002,Assign task to a user whose account is suspended or inactive,REQ-24,Task T1 is unassigned. User X exists in the system but has a suspended/inactive account status.,"Navigate to Task T1's assignment screen.,Attempt to select and assign User X (suspended/inactive) as the assignee.,Submit the assignment.,Check the system response and the task's assigned user field.",The system rejects the assignment with a clear error message indicating the selected user is inactive or ineligible. Task T1 remains unassigned or retains its previous assignee. No partial assignment state is persisted.,High,"Assigning a task to a non-active user can create an orphaned assignment state that cannot be acted upon. This differs from the deleted-user scenario (already covered) because the user record still exists but in an ineligible state, which may bypass deletion-based guards."
94,EC-REQ24-003,Assign task to a user ID that does not exist (invalid/non-existent user reference),REQ-24,Task T1 is unassigned. A direct API call is possible (bypassing UI validation).,"Craft an API request to assign Task T1 to a non-existent user ID (e.g., user_id: 999999999 or a random UUID that has no record).,Send the request to the assignment endpoint.,Check the HTTP response code and response body.,Query the database to verify Task T1's assignee field.",The system returns a 404 or 422 error indicating the referenced user does not exist. Task T1's assignee field is not updated and remains in its prior state. No dangling foreign-key reference is created.,High,"UI validation may prevent selecting a non-existent user, but direct API calls can bypass this, potentially creating an orphaned or invalid assignment that breaks the 'exactly one user' constraint at the data-integrity level."
95,EC-REQ24-004,Self-assignment of a task by the currently logged-in user with insufficient permissions,REQ-24,Task T1 is assigned to User A (manager-assigned). User B is a low-privilege user who has read access to Task T1 but no assignment permissions. User B is logged in.,"User B navigates to Task T1.,User B attempts to self-assign Task T1 via the UI (if the option is available) or directly via API (PATCH /tasks/T1 with assignee: UserB_id).,Submit the request.,Verify the response and Task T1's assignee field.",The system rejects the unauthorized assignment attempt with a 403 Forbidden response. Task T1 retains its original assignee (User A). An audit event may be logged for the failed attempt. The 'exactly one user' rule is enforced only through authorized channels.,Medium,The existing tests focus on valid assignment flows; none verify that the assignment action is authorization-gated. A privilege-escalation path where any user can overwrite a task's assignee would undermine both the integrity of the single-assignee rule and overall access control.
