,requirement_id,description,category,severity
146,REQ-023,"There is no requirement covering notification behavior for role-based assignments (e.g., assigning a task to a team or role group rather than a specific individual), which may be a valid use case given the team-oriented nature of TaskFlow.",missing_acceptance_criteria,Low
147,REQ-028,"The requirement does not specify the notification channel(s) to be used (e.g., in-app notification, email, push notification, SMS). It is ambiguous whether one or all channels must be triggered, and whether user preferences for notification delivery should be respected.",ambiguity,High
148,REQ-028,"No acceptance criteria are defined. Missing criteria include: maximum acceptable delay between the @mention event and notification delivery, behavior when the mentioned user is the author of the comment, behavior when the mentioned user is deactivated or does not belong to the project, whether duplicate notifications are suppressed for multiple @mentions in the same comment, and what content the notification must include (e.g., comment snippet, task link, author name).",missing_acceptance_criteria,High
149,REQ-028,"The term 'comment' is ambiguous. TaskFlow supports comments in the context of tasks, but it is unclear whether @mention notifications also apply to comments on projects, file attachments, or other entities that may exist in the system.",ambiguity,Medium
150,REQ-028,"There is no defined latency or timeliness requirement for the notification. Without a measurable delivery time threshold (e.g., 'within 30 seconds'), the requirement cannot be objectively tested for performance compliance.",untestable,Medium
151,REQ-028,"The requirement does not address notification security or access control. A user who has been removed from a project or deactivated (see REQ-011) could potentially still receive notifications containing task or project content, representing a potential information disclosure risk.",security_gap,High
152,REQ-028,"No mention is made of how @mention resolution interacts with user roles (REQ-010). It is unclear whether a Contributor can @mention an Administrator or Project Manager outside their project scope, and whether the system should restrict or permit cross-role/cross-project mentions.",ambiguity,Medium
153,REQ-028,"There are no acceptance criteria covering notification grouping or throttling. If a user is @mentioned many times in rapid succession, the expected system behavior (individual notifications vs. digest vs. rate-limiting) is not specified, making it untestable for robustness scenarios.",missing_acceptance_criteria,Low
154,REQ-31/REQ-029,The requirement ID is inconsistent: the section header labels it REQ-31 while the body text references REQ-029. This dual/conflicting numbering makes traceability unreliable and could cause the requirement to be missed or duplicated in test planning.,ambiguity,High
155,REQ-029,"The requirement does not specify which file types are permitted or prohibited. Without an allowed/blocked file type list, it is untestable whether the system correctly accepts or rejects specific formats (e.g., executables, scripts), and a security gap exists for potentially malicious uploads.",security_gap,High
156,REQ-029,"No acceptance criteria define the system behavior when a file exceeds the 25 MB limit: there is no specified error message, user notification mechanism, or rollback behavior for a failed upload.",missing_acceptance_criteria,High
157,REQ-029,"The requirement does not define a maximum number of attachments per task or a cumulative storage limit per task, project, or organization. This omission makes capacity and boundary testing impossible.",missing_acceptance_criteria,Medium
158,REQ-029,"The phrase 'allow users to attach files' does not specify which user roles (Administrator, Project Manager, Contributor) are permitted to attach, view, download, or delete attachments, creating ambiguity in permission-based test scenarios.",ambiguity,Medium
159,REQ-029,"There is no requirement addressing virus or malware scanning of uploaded attachments before they are stored or made available to other users, representing a security gap.",security_gap,High
160,REQ-029,"The requirement does not specify whether the 25 MB limit applies to the raw file size, the encoded/compressed size after transmission, or the size after server-side processing, making the boundary condition untestable with precision.",untestable,Medium
161,REQ-029,"There are no acceptance criteria covering attachment retention policy, deletion behavior (e.g., what happens to attachments when a task or project is deleted), or whether deletion is permanent or soft-deleted.",missing_acceptance_criteria,Medium
162,REQ-029,"The requirement does not address access control for attachments: it is unclear whether attachments inherit task-level permissions or have independent visibility rules, leaving authorization test cases undefined.",ambiguity,Medium
163,REQ-32/REQ-030,"The requirement ID is inconsistently labeled as both 'REQ-32' and 'REQ-030' within the same statement. This dual numbering creates traceability ambiguity and makes it unclear which canonical ID should be used for cross-referencing, test case mapping, and change management.",ambiguity,Medium
164,REQ-32/REQ-030,"No maximum file size limit is specified for attachments. Without a defined size constraint, it is impossible to test whether the system correctly accepts or rejects files based on size, and the system may be vulnerable to storage exhaustion or denial-of-service via large file uploads.",missing_acceptance_criteria,High
165,REQ-32/REQ-030,No maximum number of attachments per task or project is defined. Acceptance criteria cannot be written or tested for attachment count limits without this boundary condition being specified.,missing_acceptance_criteria,Medium
166,REQ-32/REQ-030,"There is no requirement for malware scanning, MIME-type validation, or content inspection of uploaded files. Accepting executable-capable formats such as DOCX, XLSX, and CSV without security controls introduces a significant attack surface (e.g., macro-based malware, CSV injection).",security_gap,High
167,REQ-32/REQ-030,"The requirement does not specify whether file type enforcement is based on file extension, MIME type, or actual file content (magic bytes). These three methods can produce conflicting results, making the validation behavior ambiguous and difficult to test deterministically.",ambiguity,High
168,REQ-32/REQ-030,"No expected system behavior is defined when a user attempts to upload an unsupported file type (e.g., MP4, EXE, ZIP). Without a specified error response, message, or UI behavior, there are no acceptance criteria to validate the rejection path.",missing_acceptance_criteria,High
169,REQ-32/REQ-030,"It is unspecified which roles (Administrator, Project Manager, Contributor) are permitted to upload, view, download, or delete attachments. Without role-based access criteria, permission boundaries cannot be tested and may conflict with REQ-010.",missing_acceptance_criteria,High
170,REQ-32/REQ-030,"The requirement does not state whether attachments are scoped to tasks, projects, comments, or all of the above. This ambiguity makes it untestable to determine where attachment functionality should appear in the UI and which entities must support the feature.",ambiguity,Medium
171,REQ-32/REQ-030,"No retention, deletion, or storage quota policy is defined for attachments. It is untestable whether the system correctly manages attachment lifecycle, including behavior when a parent task or project is deleted.",missing_acceptance_criteria,Medium
172,REQ-013,The statement 'easy and intuitive for administrators' is subjective and contains no measurable or objective criteria. This requirement is entirely untestable as written; no pass/fail condition can be derived from it.,untestable,High
